id,key,1::English (United Kingdom),2::Dutch (Netherlands)
1,adminForgot,Password reminder,Wachtwoord vergeten
2,adminLogin,Admin Login,Admin Login
3,backend,Back-end titles,Backend titels
4,booking_confirmation_title,Send Confirmation Email,Bevestigingsmail Verzenden
5,booking_message,Email message,E-mailbericht
6,booking_subject,Email subject,E-mail onderwerp
7,btnAdd,+ Add days off,Toevoegen
8,btnAddBooking,+ Add booking,+ Reservering toevoegen
9,btnAddEquipment,+ Add equipment item,+ Voeg apparatuur toe
10,btnAddFoodDrink,+ Add item,+ Toevoegen
11,btnAddRoom,+ Add room,+ Ruimte toevoegen
12,btnAddRoomLayout,+ Add room layout,+ Ruimte indeling toevoegen
13,btnAddUser,+ Add user,+ Gebruiker toevoegen
14,btnBack,&laquo; Back,Terug
15,btnBackup,Backup,Back-up
16,btnCancel,Cancel,Annuleren
17,btnContinue,Continue,Doorgaan
18,btnDelete,Delete,Verwijderen
19,btnLogin,Login,Aanmelden
20,btnReset,Reset,Reset
21,btnSave,Save,Opslaan
22,btnSearch,Search,Zoeken
23,btnSend,Send,Versturen
24,btnUpdate,Update,Update
25,btnUseThisTheme,Use this theme,Gebruik dit thema
26,created,DateTime,Datum Tijd
27,dash_add_booking,+ Add booking,+ Reservering toevoegen
28,dash_add_room,+ Add room,+ Ruimte toevoegen
29,dash_bookings_made_today,bookings made today,Reservering vandaag gemaakt
30,dash_bookings_today,bookings for today,Reservering voor vandaag
31,dash_booking_made_today,booking made today,Reservering vandaag gemaakt
32,dash_booking_today,booking today,Reservering vandaag gemaakt
33,dash_configure_booking_form,Edit Booking form,Reserveringsformulier maken
34,dash_date,Date,Datum
35,dash_full_day,Full day,Hele dag
36,dash_latest_bookings,Latest bookings,Laatste reservering
37,dash_make_backup,Back up your files,Maak back-ups van bestanden.
38,dash_manage_equipment,Manage Equipment,Apparatuur beheren
39,dash_no_bookings_found,No bookings found.,Geen reservering gevonden
40,dash_print,Print,Afdrukken
41,dash_quick_links,Quick links,Snelle links
42,dash_reservations,Reservations,Reserveringen
43,dash_setup_languages,Language settings,Set-up Talen
44,dash_total_bookings,total bookings made,Totale reserveringen
45,dash_view_bookings,View Bookings,Reserveringen bekijken
46,dash_view_rooms,View Rooms,Ruimtes bekijken
47,delete_confirmation,Are you sure that you want to delete selected record(s)?,Bevestiging verwijderen
48,delete_selected,Delete selected,Verwijder geselecteerden
49,email,Email,E-mail
50,emailForgotBody,Name,"Hallo {Name}, Jou wachtwoord {Password}"
51,emailForgotSubject,Password reminder,Wachtwoord vergeten
52,email_taken,Client with such email address exists.,Er bestaat een klant met een dergelijk e-mailadres.
53,frontend,Front-end titles,Front-end titels
54,gridActionTitle,Action confirmation,Actiebevestiging
55,gridBtnCancel,Cancel,Annuleren
56,gridBtnDelete,Delete,Verwijderen
57,gridBtnOk,OK,Ok
58,gridChooseAction,Choose Action,Actie
59,gridConfirmationTitle,Are you sure you want to delete selected record?,Weet u zeker dat u het geselecteerde record wilt verwijderen?
60,gridDeleteConfirmation,Delete confirmation,Bevestiging verwijderen
61,gridEmptyBody,You need to select at least a single record.,Je moet minimaal ÈÈn record selecteren.
62,gridEmptyResult,No records found,Geen gegevens gevonden
63,gridEmptyTitle,No records selected,Geen gegevens geselecteerd
64,gridGotoPage,Go to page:,Ga naar pagina:
65,gridItemsPerPage,Items per page,Artikelen per pagina
66,gridNext,Next &raquo;,Volgende 
67,gridNextPage,Next page,Volgende pagina
68,gridPrev,&laquo; Prev,Vorige 
69,gridPrevPage,Prev page,Vorige pagina
70,gridTotalItems,Total items:,Totaal artikelen
71,infoAddEquipmentItemDesc,"Fill in the form below and click ""Save"" to add a new equipment.","Vul onderstaand formulier in en klik op ""Opslaan"" om een ??nieuw apparaat toe te voegen."
72,infoAddEquipmentItemTitle,Add a new equipment item,Een nieuw artikel toevoegen
73,infoAddFoodDrinkDesc,"Enter the title and the price and click ""Save"" button.","Voer de titel en de prijs in en klik op de knop ""Opslaan""."
74,infoAddFoodDrinkTitle,Add food or drink,Voeg eten of drinken toe
75,infoAddLayoutDesc,Enter a title and upload the image for your new room layout.,Voer een titel in en upload de afbeelding voor uw nieuwe ruimteindeling.
76,infoAddLayoutTitle,Add room layout,Voeg een plattegrond van de kamer toe
77,infoAddRoomDesc,"Fill in the form below and click ""Save"" to add a new meeting room.","Vul onderstaand formulier in en klik op ""Opslaan"" om een ??nieuwe ruimte toe te voegen."
78,infoAddRoomTitle,Add a new meeting room,Voeg een nieuwe ruimte toe
79,infoAddUserDesc,"Fill in the form below and click ""Save"" to add a new user.","Vul onderstaand formulier in en klik op ""Opslaan"" om een ??nieuwe gebruiker toe te voegen."
80,infoAddUserTitle,Add user,Gebruiker toevoegen
81,infoBookingDetailsDesc,Select the meeting room that you wish to book and set all relevant details. You can also reserve technical equipment and order catering for your meeting.,Selecteer de ruimte die u wilt reserveren en vul alle relevante gegevens in. U kunt ook technische apparatuur reserveren voor uw vergadering of presentatie bestellen.
