id,key,1::English (United Kingdom)
1,adminForgot,Wachtwoord vergeten
2,adminLogin,Admin Login
3,backend,Backend titels
4,booking_confirmation_title,Bevestigingsmail Verzenden
5,booking_message,E-mailbericht
6,booking_subject,E-mail onderwerp
7,btnAdd,Toevoegen
8,btnAddBooking,+ Aanvraag toevoegen
9,btnAddEquipment,+ Voeg apparatuur toe
10,btnAddFoodDrink,+ Toevoegen
11,btnAddRoom,+ Ruimte toevoegen
12,btnAddRoomLayout,+ Ruimte indeling toevoegen
13,btnAddUser,+ Gebruiker toevoegen
14,btnBack,Terug
15,btnBackup,Back-up
16,btnCancel,Annuleren
17,btnContinue,Doorgaan
18,btnDelete,Verwijderen
19,btnLogin,Aanmelden
20,btnReset,Reset
21,btnSave,Opslaan
22,btnSearch,Zoeken
23,btnSend,Versturen
24,btnUpdate,Update
25,btnUseThisTheme,Gebruik dit thema
26,created,Datum Tijd
27,dash_add_booking,+ Aanvraag toevoegen
28,dash_add_room,+ Ruimte toevoegen
29,dash_bookings_made_today,Aanvraag vandaag gemaakt
30,dash_bookings_today,Aanvraag voor vandaag
31,dash_booking_made_today,Aanvraag vandaag gemaakt
32,dash_booking_today,Aanvraag vandaag gemaakt
33,dash_configure_booking_form,Aanvraag formulier maken
34,dash_date,Datum
35,dash_full_day,Hele dag
36,dash_latest_bookings,Laatste aanvraag
37,dash_make_backup,Maak back-ups van bestanden.
38,dash_manage_equipment,Apparatuur beheren
39,dash_no_bookings_found,Geen aanvraag gevonden
40,dash_print,Afdrukken
41,dash_quick_links,Snelle links
42,dash_reservations,Aanvragen
43,dash_setup_languages,Set-up Talen
44,dash_total_bookings,Totale aanvragen
45,dash_view_bookings,Aanvragen bekijken
46,dash_view_rooms,Ruimtes bekijken
47,delete_confirmation,Bevestiging verwijderen
48,delete_selected,Verwijder geselecteerden
49,email,E-mail
50,emailForgotBody,"Hallo {Name}, Jou wachtwoord {Password}"
51,emailForgotSubject,Wachtwoord vergeten
52,email_taken,Er bestaat een klant met een dergelijk e-mailadres.
53,frontend,Front-end titels
54,gridActionTitle,Actiebevestiging
55,gridBtnCancel,Annuleren
56,gridBtnDelete,Verwijderen
57,gridBtnOk,Ok
58,gridChooseAction,Actie
59,gridConfirmationTitle,Weet u zeker dat u het geselecteerde record wilt verwijderen?
60,gridDeleteConfirmation,Bevestiging verwijderen
61,gridEmptyBody,Je moet minimaal een record selecteren.
62,gridEmptyResult,Geen gegevens gevonden
63,gridEmptyTitle,Geen gegevens geselecteerd
64,gridGotoPage,Ga naar pagina:
65,gridItemsPerPage,Artikelen per pagina
66,gridNext,Volgende 
67,gridNextPage,Volgende pagina
68,gridPrev,Vorige 
69,gridPrevPage,Vorige pagina
70,gridTotalItems,Totaal artikelen
71,infoAddEquipmentItemDesc,"Vul onderstaand formulier in en klik op ""Opslaan"" om een nieuw apparaat toe te voegen."
72,infoAddEquipmentItemTitle,Een nieuw artikel toevoegen
73,infoAddFoodDrinkDesc,"Voer de titel en de prijs in en klik op de knop ""Opslaan""."
74,infoAddFoodDrinkTitle,Voeg eten of drinken toe
75,infoAddLayoutDesc,Voer een titel in en upload de afbeelding voor uw nieuwe ruimte indeling.
76,infoAddLayoutTitle,Voeg een plattegrond van de kamer toe
77,infoAddRoomDesc,"Vul onderstaand formulier in en klik op ""Opslaan"" om een nieuwe ruimte toe te voegen."
78,infoAddRoomTitle,Voeg een nieuwe ruimte toe
79,infoAddUserDesc,"Vul onderstaand formulier in en klik op ""Opslaan"" om een nieuwe gebruiker toe te voegen."
80,infoAddUserTitle,Gebruiker toevoegen
81,infoBookingDetailsDesc,Selecteer de ruimte die u wilt reserveren en vul alle relevante gegevens in. U kunt ook technische apparatuur reserveren voor uw vergadering of presentatie bestellen.
82,infoBookingDetailsTitle,Een nieuwe boeking toevoegen
83,infoBookingFormDesc,Selecteer de velden in het aanvraag formulier die standaard en verplicht moeten zijn.
84,infoBookingFormTitle,Aanvraag formulier bewerken
85,infoBookingsDesc,Configureer de aanvraag opties en pas de betalingen aan uw voorkeuren aan.
86,infoBookingsListDesc,"Bekijk een lijst van alle ruimteboekingen. Met de onderstaande sneltoetsen kunt u handmatig een nieuwe aanvraag toevoegen, de status ervan wijzigen, aanvraag gegevens bewerken, aanvragen bekijken en verwijderen."
87,infoBookingsListTitle,Aanvraag lijst
88,infoBookingsTitle,Aanvragen en betalingen
89,infoClientDetailsDesc,Vul de klantgegevens in voordat u de aanvraag opslaat.
90,infoClientDetailsTitle,Voeg klantgegevens toe
91,infoDefaultTimeDesc,"Je kunt voor elke dag van de week een andere werktijd instellen, evenals vrije dagen en een middag- en avondschema."
92,infoDefaultTimeTitle,Standaard werktijd
93,infoEquipmentDesc,Bekijk alle beschikbare apparatuur. Je kunt een nieuw item toevoegen of de bestaande bewerken. Vergeet niet je wijzigingen op te slaan.
94,infoEquipmentTitle,Technische apparatuur
95,infoFoodDrinksDesc,Als extra service kunt u uw klanten verschillende soorten eten en drinken aanbieden. Pas uw menu aan en voeg prijzen toe.
96,infoFoodDrinksTitle,Menukaart met eten en drinken
97,infoGeneralDesc,Configureer de algemene instellingen voor uw ruimte aanvraag systeem.
98,infoGeneralTitle,Algemene opties
99,infoInstallCodeDesc,Kopieer de onderstaande installatie code en plaats deze op uw webpagina.
100,infoInstallCodeTitle,Installeer code
101,infoPreviewDesc,"Er zijn verschillende kleurschema's beschikbaar voor de front-end. Klik op elk van de miniaturen hieronder om een voorbeeld te bekijken. Klik op de knop ""Dit thema gebruiken"" voor het thema dat u wilt gebruiken."
102,infoPreviewInstallDesc,"Er zijn verschillende kleurenschema's beschikbaar voor de front-end. Klik op elk van de miniaturen hieronder om de thema's te bekijken. Klik op de knop ""Dit thema gebruiken"" om het te activeren. Scroll vervolgens naar beneden en kopieer/plak de installatiecode op uw webpagina. "
103,infoPreviewInstallTitle,Voorbeeldweergave en installatie
104,infoPreviewTitle,Voorbeeld van de front-end
105,infoRoomLayoutsDesc,"Hieronder vindt u een lijst met alle beschikbare ruimte indelingen. U kunt uw eigen indelingen toevoegen en deze toewijzen aan elk ruimtetype via het menu ""Ruimtes""."
106,infoRoomLayoutsTitle,Plattegronden van de ruimtes
107,infoRoomsDesc,"Hieronder vindt u een lijst met alle ruimtes. U kunt ruimtes toevoegen en bewerken, hun status wijzigen en alle aanvragen voor elke ruimte bekijken."
108,infoRoomsTitle,Ruimtes
109,infoTermsDesc,Vul je boeking voorwaarden in en klik op 'Opslaan'.
110,infoTermsTitle,Algemene voorwaarden
111,infoToAdministratorsDesc,"Pas de geautomatiseerde e-mail- en sms-meldingen aan die naar beheerders worden verzonden. Als u de sms-notificatie functie wilt activeren, moet u een geldige API-sleutel aanvragen en deze invoeren in het daarvoor bestemde sms-menu (zie hierboven)."
112,infoToAdministratorsTitle,Meldingen aan beheerders
113,infoToCustomersDesc,"Maak verschillende soorten e-mail- en sms-meldingen aan die worden geactiveerd bij een nieuwe aanvraag, betaling of annulering. Als u de sms-notificatie functie wilt activeren, moet u een geldige API-sleutel aanvragen en deze invoeren in het daarvoor bestemde sms-menu (zie hierboven)."
114,infoToCustomersTitle,Meldingen aan klanten
115,infoUpdateEquipmentItemDesc,"U kunt alle wijzigingen in het onderstaande formulier aanbrengen en op de knop ""Opslaan"" klikken om het apparatuuritem bij te werken."
116,infoUpdateEquipmentItemTitle,Update het apparatuuritem
117,infoUpdateFoodDrinkDesc,Bewerk de titel of de prijs en klik vervolgens op 'Opslaan'.
118,infoUpdateFoodDrinkTitle,Update het voedsel- of drankitem
119,infoUpdateLayoutDesc,"U kunt de titel bewerken en een andere afbeelding voor deze ruimte indeling uploaden. Klik aan het einde gewoon op ""Opslaan""."
120,infoUpdateLayoutTitle,Ruimte indeling bijwerken
121,infoUpdateRoomDesc,"U kunt onderstaande formulier wijzigen en op de knop ""Opslaan"" klikken om de ruimte informatie bij te werken."
122,infoUpdateRoomTitle,Update ruimte
123,infoUpdateUserDesc,"U kunt onderstaande formulier naar wens wijzigen en op de knop ""Opslaan"" klikken om de gebruikersgegevens bij te werken."
124,infoUpdateUserTitle,Gebruiker bijwerken
125,infoUsersDesc,"Hieronder vindt u een lijst met alle gebruikers. U kunt nieuwe gebruikers toevoegen, gebruikersgegevens bewerken en de gebruikersstatus wijzigen."
126,infoUsersTitle,Gebruikers
127,lblAddUser,Gebruikers aanmaken
128,lblAll,Alles
129,lblAttendees,Aanwezigen
